;age;job;marital;education;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp_var_rate;cons_price_idx;cons_conf_idx;euribor3m;nr_employed;response;Default;Housing;Loan;Cellular
0;30;blue-collar;married;basic.9y;may;fri;487;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;0;1;0;1
1;39;services;single;high.school;may;fri;346;4;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;0;0;0;0;0
2;25;services;married;high.school;jun;wed;227;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1;0;0;1;0;0
3;38;services;married;basic.9y;jun;fri;17;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;0;0;1;0;0
4;47;admin.;married;university.degree;nov;mon;58;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;0;0;1;0;1
5;32;services;single;university.degree;sep;thu;128;3;999;2;failure;-1.1;94.199;-37.5;0.884;4963.6;0;0;0;0;1
6;32;admin.;single;university.degree;sep;mon;290;4;999;0;nonexistent;-1.1;94.199;-37.5;0.879;4963.6;0;0;1;0;1
7;41;entrepreneur;married;university.degree;nov;mon;44;2;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;0;0;1;0;1
8;31;services;divorced;professional.course;nov;tue;68;1;999;1;failure;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;0;0;0;1
9;35;blue-collar;married;basic.9y;may;thu;170;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;0;0;0;0;0
10;25;services;single;basic.6y;jul;thu;301;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.958;5228.1;0;0;1;0;1
11;36;self-employed;single;basic.4y;jul;thu;148;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.968;5228.1;0;0;0;0;1
12;36;admin.;married;high.school;may;wed;97;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;0;0;0;0;0
13;47;blue-collar;married;basic.4y;jun;thu;211;2;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1;0;0;1;0;0
14;29;admin.;single;high.school;may;fri;553;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;0;0;0;1
15;27;services;single;university.degree;jul;wed;698;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;0;0;0;0;1
16;44;admin.;divorced;university.degree;jul;wed;191;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;0;0;0;0;1
17;46;admin.;divorced;university.degree;jul;mon;59;4;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;1;0;0
18;45;entrepreneur;married;university.degree;aug;mon;38;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;0;0;1;1;1
19;50;blue-collar;married;basic.4y;jul;tue;849;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;1;0;0;1;1
20;55;services;married;basic.6y;jul;tue;326;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;1;0;1
21;39;technician;divorced;high.school;mar;mon;222;1;12;2;success;-1.8;93.369;-34.8;0.639;5008.7;1;0;0;0;1
22;29;technician;single;university.degree;aug;wed;626;3;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;0;0;1;1;1
23;40;management;married;high.school;aug;wed;119;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;0;0;0;1;1
24;44;technician;married;professional.course;may;fri;388;7;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0;0;0;1;0;0
25;38;technician;married;professional.course;aug;mon;479;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;1;0;1;0;1
26;36;technician;divorced;professional.course;may;wed;446;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;0;0;0;0;0
27;28;blue-collar;married;basic.6y;may;mon;68;2;999;1;failure;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;0;0;0;1
28;47;admin.;single;university.degree;may;thu;127;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;0;0;0;0;0
29;34;admin.;married;university.degree;aug;tue;109;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;0;0;0;0;1
30;38;technician;married;university.degree;mar;tue;113;1;999;1;failure;-1.8;92.84299999999999;-50.0;1.6869999999999998;5099.1;0;0;1;1;1
31;33;services;married;high.school;jun;mon;393;3;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;0;0;1;0;0
32;51;technician;single;university.degree;jun;fri;151;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;0;0;0;0;1
33;30;blue-collar;single;basic.4y;jun;tue;256;1;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;0;0;1;0;0
34;48;technician;married;university.degree;aug;thu;42;7;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1;0;0;0;0;1
35;28;blue-collar;single;basic.9y;jun;wed;525;1;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;0;0;1;0;0
36;36;blue-collar;married;basic.6y;may;wed;57;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;0;0;1;0;0
37;46;management;divorced;high.school;nov;wed;499;1;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;0;0;0;0;1
38;31;technician;single;university.degree;may;wed;84;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.334;5099.1;0;0;1;0;1
39;20;student;single;university.degree;oct;mon;137;3;999;3;failure;-1.1;94.601;-49.5;0.977;4963.6;0;0;0;0;1
40;35;services;married;high.school;may;tue;31;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.344;5099.1;0;0;1;0;1
41;38;blue-collar;married;basic.9y;jun;fri;430;1;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1;0;0;1;0;0
42;76;retired;married;university.degree;aug;thu;126;1;999;1;failure;-1.7;94.027;-38.3;0.899;4991.6;0;0;0;0;1
43;45;entrepreneur;divorced;professional.course;jul;tue;211;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;0;0;1;0;1
44;32;housemaid;married;basic.4y;may;fri;340;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;0;1;1;1
45;39;management;single;university.degree;may;thu;412;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;0;0;0;1
46;32;admin.;married;university.degree;nov;thu;132;1;999;0;nonexistent;-0.1;93.2;-42.0;4.592;5195.8;0;0;0;0;0
47;29;admin.;single;basic.9y;may;mon;79;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;0;0;0;1
48;44;services;married;professional.course;aug;mon;341;2;999;0;nonexistent;1.4;93.444;-36.1;4.97;5228.1;0;0;0;0;1
49;32;services;married;high.school;jul;fri;157;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;0;0;0;1;1
50;56;retired;married;university.degree;jun;wed;252;1;999;2;failure;-2.9;92.963;-40.8;1.26;5076.2;0;0;1;0;1
51;33;blue-collar;married;basic.9y;may;thu;263;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;0;1;0;1
52;39;management;married;high.school;aug;fri;215;3;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;0;0;0;0;1
53;24;technician;married;university.degree;sep;tue;89;2;3;1;success;-3.4;92.37899999999999;-29.8;0.77;5017.5;1;0;1;1;1
54;33;admin.;single;university.degree;may;thu;143;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;0;1;0;1
55;58;entrepreneur;divorced;university.degree;jun;thu;40;2;999;0;nonexistent;1.4;94.465;-41.8;4.8660000000000005;5228.1;0;0;0;0;0
56;29;admin.;single;university.degree;jun;fri;10;27;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;0;0;1;0;0
57;31;admin.;married;university.degree;aug;thu;113;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;0;0;1;0;1
58;27;admin.;married;university.degree;may;wed;191;5;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0
59;60;admin.;divorced;professional.course;sep;wed;481;1;999;1;failure;-1.1;94.199;-37.5;0.8859999999999999;4963.6;1;0;1;0;1
60;55;entrepreneur;married;professional.course;oct;mon;233;1;999;2;failure;-3.4;92.431;-26.9;0.7390000000000001;5017.5;0;0;1;1;1
61;37;blue-collar;married;basic.9y;may;wed;204;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;0;0;1;0;1
62;52;admin.;married;university.degree;apr;wed;403;1;6;1;success;-1.8;93.749;-34.6;0.654;5008.7;1;0;1;0;0
63;46;services;married;high.school;apr;mon;180;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;0;0;1;0;1
64;42;blue-collar;divorced;basic.6y;may;wed;16;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;0;1;0;1
65;35;admin.;single;university.degree;jul;mon;447;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;0;0;1;0;1
66;49;technician;divorced;university.degree;oct;thu;81;1;999;0;nonexistent;-3.4;92.431;-26.9;0.754;5017.5;0;0;1;1;1
67;29;services;divorced;high.school;jun;mon;361;3;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;0;0;0;1;0
68;32;blue-collar;married;basic.9y;nov;mon;1091;2;5;1;success;-0.1;93.2;-42.0;4.191;5195.8;1;0;0;0;1
69;37;self-employed;married;university.degree;may;fri;395;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;0;0;0;1
70;39;technician;single;professional.course;jun;mon;432;4;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;1;0;0;0;0
71;51;services;married;high.school;jul;mon;596;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;1;0;1;0;0
72;28;admin.;single;high.school;may;tue;59;3;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;0;1;0;1
73;34;management;married;university.degree;may;wed;77;4;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;0;1;0;1
74;31;technician;single;high.school;aug;tue;768;1;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;1;0;1;1;1
75;31;admin.;married;university.degree;aug;thu;96;5;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1;0;0;1;0;1
76;31;admin.;single;university.degree;jun;wed;357;2;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;0;0;1;0;0
77;38;self-employed;single;university.degree;may;thu;459;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;0;0;0;0;0
78;33;unemployed;married;basic.9y;jun;fri;11;6;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;0;0;0;0;0
79;32;technician;single;university.degree;aug;tue;264;12;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;0;0;0;0;1
80;54;technician;married;professional.course;apr;mon;698;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;0;0;1;0;1
81;41;admin.;divorced;high.school;jun;tue;204;2;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;0;0;1;0;0
82;59;services;married;basic.4y;aug;thu;93;7;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;0;0;0;0;1
83;57;retired;married;university.degree;apr;thu;374;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1;0;0;1;0;1
84;38;entrepreneur;divorced;university.degree;nov;thu;252;1;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;0;0;1;0;1
85;46;admin.;married;university.degree;may;tue;158;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0
86;37;unemployed;single;university.degree;nov;tue;95;1;999;0;nonexistent;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;0;1;1;1
87;47;services;single;basic.9y;jun;thu;835;3;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;1;0;1;0;0
88;45;admin.;single;university.degree;aug;thu;505;1;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;1;0;0;0;1
89;36;blue-collar;married;basic.6y;jul;wed;16;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;1;0;0
